s#	c#	grade
2203712780	BE-70	66.3
2206113588	Stat-48	67.3
2201222246	ChE-46	28.1
2203312538	Chem-77	71.5
2206322125	Chem-83	93.2
2204112375	AE-91	72.2
2205114717	EE-69	17.8
2206213261	AE-91	69.5
2206123839	Math-57	93.5
2201412035	IE-65	69.3
2206113850	ME-92	45.5
2202113426	Math-11	9.6
2206113854	ME-64	28.2
2203513498	IE-65	68.7
2204214955	AE-38	25.8
2203412932	Econ-61	99.0
2202321925	Phys-62	60.9
2206113616	CS-05	69.0
2203611997	IE-57	69.2
2202311939	Math-54	66.0
2201422016	Chem-16	68.8
2202214763	Math-11	74.5
2203322593	Math-54	79.5
2203712727	Chem-42	17.3
2203513464	Econ-81	96.6
2201313116	Phys-31	38.8
2205114712	ChE-46	91.9
2201121579	CE-97	50.6
2201313120	Chem-27	85.6
2206123645	Phys-41	87.0
2204112311	ME-91	88.2
2201313103	CE-20	35.3
2201121579	Chem-45	76.7
2206525215	Math-27	99.4
2201313116	BE-21	69.6
2206113678	ME-19	71.5
2204511816	IE-95	63.7
2204122350	Stat-33	60.9
2205012211	Bio-24	76.7
2201313147	IE-57	81.6
2205124700	Chem-77	0.8
2206113816	ME-88	66.4
2203312500	AE-73	72.8
2204313371	IE-95	51.6
2202113425	CS-36	75.4
2205124700	Econ-81	63.9
2203712761	Phys-31	66.6
2203722736	BE-21	65.6
2204411682	Econ-31	65.9
2203711824	Math-11	8.7
2203411282	CE-97	94.1
2201323107	Chem-77	84.1
2206113642	Econ-59	98.7
2206113938	BE-21	72.0
2206123832	Bio-58	96.5
2206113753	BE-21	80.7
2206113954	Chem-45	62.0
2206213255	Ling-36	1.0
2206113717	Ling-92	64.1
2204613216	ChE-46	53.6
2204613222	Econ-51	92.9
2206123972	CS-53	49.5
2203412952	Bio-08	73.9
2206515183	ChE-86	70.7
2206515186	Bio-08	61.5
2195014606	Ling-89	97.6
2201313143	Ling-36	70.9
2206223279	Bio-35	37.9
2206113869	IE-54	0.6
2201412023	Phys-26	65.9
2201412036	Econ-66	9.1
2204411643	Chem-00	89.6
2203513465	ChE-29	91.6
2203722773	BE-21	61.2
2206113850	ME-64	19.8
2204225004	Econ-05	88.2
2206123650	ME-88	60.1
2203712788	IE-65	68.3
2206515224	ChE-29	66.7
2203712701	ChE-79	86.9
2203211437	Chem-77	77.2
2206113589	AE-77	92.0
2195014606	Phys-07	82.9
2201422034	CE-32	68.4
2201212249	ChE-86	75.1
2202214754	ME-92	86.3
2201212243	Phys-09	72.7
2203712706	CS-05	67.0
2203422935	Chem-45	77.1
2201111604	Chem-16	76.2
2206113880	Stat-33	84.5
2203312555	Ling-43	90.3
2203113240	EE-94	99.2
2205322837	IE-67	53.7
2208125394	Chem-27	83.3
2205012207	Bio-60	77.9
2206123971	Math-32	58.2
2206113661	Bio-24	35.5
2204224980	CS-36	63.5
2206113719	AE-73	77.8
2201111586	ME-88	86.6
2204215030	Phys-41	62.9
2206515202	Bio-57	42.5
2206123732	Econ-81	79.3
2204313376	Econ-61	18.2
2201511781	Phys-31	74.4
2204313395	BE-70	65.5
2206113869	Chem-45	64.8
2201222246	Econ-67	87.1
2203712706	AE-73	36.6
2203513470	Chem-77	13.4
2206123887	Ling-35	34.1
2203711824	Chem-35	63.4
2206113992	AE-18	94.4
2204112372	CS-53	76.1
2204111720	Bio-24	68.6
2206123918	ChE-29	65.2
2203712703	Ling-92	91.8
2205012211	ME-19	73.0
2201111624	ME-86	87.5
2204313367	Math-57	15.4
2206113932	EE-09	64.8
2203312544	Ling-36	85.5
2206113797	Chem-34	83.5
2206115145	Phys-09	87.0
2205022169	Phys-36	78.6
2201121587	Bio-25	67.3
2204112341	Stat-47	34.7
2203613033	Chem-42	66.4
2204421337	Bio-44	83.5
2203312590	Chem-27	47.0
2203613019	Bio-35	62.0
2206123715	BE-06	70.3
2203613005	AE-38	45.4
2206123622	Stat-01	60.4
2206123962	Econ-35	72.9
2203312500	Ling-03	90.2
2184114623	Econ-61	63.3
2203312574	Bio-44	78.7
2203513465	Phys-62	86.3
2201313119	CS-53	8.0
2206113806	Stat-01	92.8
2203712706	ME-86	78.3
2206113711	ChE-46	81.2
2204313368	Econ-05	66.4
2206113885	Chem-42	5.8
2201412053	Math-57	79.7
2195123228	Math-32	84.7
2206525205	Bio-60	98.7
2206113566	AE-98	97.9
2203712772	Econ-51	96.6
2206515213	Bio-24	83.2
2205111305	Ling-27	63.7
2206113937	Phys-62	21.6
2203712708	ME-64	91.5
2206515219	Bio-25	90.7
2202215131	Ling-92	75.6
2206111758	ChE-29	95.2
2201212255	Chem-83	83.0
2204312625	Chem-77	80.5
2205114656	AE-38	64.6
2206113809	EE-94	93.0
2206213261	Bio-25	66.3
2205124652	BE-21	60.1
2206515187	CS-05	89.4
2205114658	CE-74	91.9
2206113601	Econ-05	51.6
2201422063	ME-64	63.2
2205114662	AE-38	93.4
2203422929	Phys-09	83.3
2183410425	ME-19	82.2
2203312574	Chem-45	77.5
2201412073	Phys-26	90.3
2204214992	Bio-35	6.7
2206113969	Chem-77	97.5
2208211256	Stat-29	80.9
2206515200	Chem-90	92.3
2204421339	AE-96	75.7
2204313395	Bio-58	81.9
2205111305	Chem-90	39.0
2206123664	Econ-61	14.8
2206123604	Phys-62	90.6
2203312551	BE-21	53.1
2206412655	ChE-29	66.3
2201212254	Math-54	2.6
2204222869	AE-91	65.0
2206113696	ChE-46	8.5
2204215030	EE-09	60.3
2201412051	EE-69	82.1
2204411679	Econ-61	74.2
2205123246	Stat-28	4.2
2204313316	Ling-27	49.6
2204613221	Ling-92	10.6
2204214978	Ling-89	86.7
2203322592	Econ-05	89.3
2203712788	CE-74	91.5
2203224798	IE-76	69.3
2204112314	CS-53	4.3
2201412074	BE-70	73.6
2204112334	CS-01	29.1
2206113932	Chem-16	61.2
2203312548	Econ-67	93.1
2205312828	Chem-35	97.2
2206113945	IE-95	60.4
2201323130	CS-56	2.0
2206113616	Econ-51	38.2
2202113429	Chem-34	69.6
2206113710	Stat-47	42.7
2203312478	Chem-83	71.8
2206123650	CE-74	81.4
2206113628	IE-76	90.1
2204613218	Econ-67	74.7
2205114686	Math-90	89.9
2206113723	ME-92	97.3
2204112352	Econ-35	69.4
L201300002	ChE-29	68.0
2206515192	ChE-29	84.5
2184124615	IE-54	77.4
2206123839	Bio-44	97.1
2201412081	CS-05	80.2
2206123972	Bio-60	60.1
2202113448	Bio-44	82.1
2203712827	Ling-92	72.3
2206113733	Econ-31	89.7
2204111713	Stat-33	76.3
2206113897	CE-97	4.9
2203312573	CS-56	11.0
2204224971	Math-90	89.6
2203712727	AE-91	48.0
2204111713	Econ-67	69.4
2206113734	Phys-07	87.2
2205012196	Bio-08	85.0
2206113907	Econ-31	94.4
2206113945	Phys-46	16.4
2206113823	Bio-99	97.2
L203000002	Phys-46	63.5
2203513472	CE-20	62.9
2203312562	EE-09	67.4
2206113911	Math-32	26.9
2206113977	Econ-05	97.1
2204225017	Ling-03	31.3
2204222854	Stat-28	76.5
2203211401	Phys-09	83.1
2205114654	Phys-07	76.7
2201412017	ChE-46	85.6
2206115147	AE-96	70.9
2206113757	Math-57	81.8
2206213272	Chem-77	95.0
2204111720	CE-97	76.9
2206113771	Phys-46	95.7
2202113431	Chem-35	66.9
2203312572	BE-70	93.5
2204411688	AE-96	79.2
2206113943	Chem-45	50.7
2201412031	Math-11	85.5
2206123925	Chem-90	61.3
2204222855	IE-65	98.5
2202123452	Chem-45	86.1
2203312578	IE-95	98.9
2204122321	Bio-35	60.7
2204411673	AE-77	77.3
2203613017	Phys-36	83.7
2201412053	Ling-35	99.2
2203312490	BE-21	82.4
2204313323	CE-97	27.0
2204323388	Econ-31	60.5
2203712751	Ling-27	77.0
2201212255	BE-34	25.4
2203623015	Chem-34	64.3
2196214614	Phys-09	36.9
2201313128	IE-54	100.0
2206123931	IE-65	73.3
2204112327	Chem-34	92.5
2206123856	CE-32	65.4
2204411679	CS-01	36.4
2201313103	AE-18	70.8
2203211444	Bio-35	89.7
2206124236	IE-65	87.3
2204521807	Bio-44	85.3
2203412951	Bio-58	73.0
2206412652	CE-23	88.8
2206312123	AE-98	85.8
2201412043	Bio-35	70.9
2204411679	ChE-46	77.5
2204421685	Stat-47	67.8
2203312573	Chem-00	65.5
2204214978	Phys-41	81.9
2204215030	Phys-26	93.2
2202311939	Stat-01	98.5
2206113711	Phys-09	94.6
2201313158	Math-19	74.5
2182314643	Phys-46	66.1
2201422061	Bio-35	65.1
2206223273	ChE-79	66.7
2203312577	CE-20	81.8
2203211139	Bio-24	75.9
2204411661	Econ-51	95.9
2203712764	CE-23	6.0
2203312552	Bio-60	20.7
2204215026	Phys-62	87.4
2203211400	ME-73	62.8
2203211430	Bio-58	0.6
2206123732	IE-65	11.9
2203211440	ChE-46	14.8
2204323388	Ling-27	74.3
2203613041	AE-38	79.6
2203613011	IE-95	90.3
2205213078	Bio-99	61.5
2203412954	Phys-09	94.6
2206113909	CE-74	86.1
2203113232	Econ-81	83.2
2201313103	Econ-05	94.2
2201323125	Bio-08	50.9
2203612984	AE-38	90.9
2201222247	AE-91	29.7
2204122281	CS-53	12.0
2206123691	Bio-35	61.9
2203712770	EE-69	7.6
2206213272	ME-91	81.0
2203712783	Stat-29	71.6
2202214763	Phys-09	74.0
2206123985	Math-54	68.9
2206113595	CE-74	29.8
2206412652	Econ-76	60.7
2201422067	Ling-92	69.4
2206113915	Ling-27	67.2
2203224798	CS-56	88.7
2184124615	BE-70	74.0
2203624800	ME-86	70.0
2203711824	Econ-51	88.3
2202113430	Bio-60	66.5
2206113919	Econ-31	89.9
2206113603	AE-73	99.6
2203113239	ME-91	94.1
2201412017	CS-56	92.5
2206113848	IE-76	74.3
2203412942	Phys-26	97.5
2204313340	AE-38	34.5
2203211431	Math-32	67.2
2195123228	ME-92	76.0
2204112278	Chem-16	96.1
2203412954	ME-64	97.8
2203312570	IE-65	74.2
2205312829	Chem-00	63.4
2206113888	IE-93	60.7
2206113909	Phys-09	92.6
2202113426	IE-57	80.0
2204313335	Chem-77	72.1
2203712768	Bio-25	79.7
2203613023	BE-06	77.6
2204313324	Ling-92	85.3
2204313335	AE-91	99.1
2201111586	Math-32	87.5
2202224759	CS-56	70.0
2205213074	Chem-90	33.6
2203712718	ME-73	64.1
2206113803	Bio-44	91.0
2201412070	CE-20	94.6
2203312585	Phys-41	80.1
2206113944	IE-54	80.6
2202123450	Bio-44	93.5
2204613217	ChE-86	61.1
2203312490	Ling-27	80.4
2203412947	Ling-43	65.6
2206113628	Phys-46	68.5
2201412012	IE-54	98.9
2206113845	Chem-27	79.4
2203412934	EE-69	84.8
2203211409	Bio-44	73.4
2206113869	AE-18	60.3
2203211745	Econ-05	75.3
2203312501	Econ-59	64.2
2201412077	Econ-67	69.6
2203113232	Phys-36	82.0
2203513470	BE-70	33.9
2202113448	ME-88	80.2
2201121580	ChE-46	70.3
2201422067	EE-94	63.7
2203411990	Math-54	85.9
2203312531	Phys-46	27.9
2206123650	CS-53	99.7
2203113231	AE-77	5.3
2204215021	Phys-41	72.6
2203613017	CS-36	87.2
2206515202	Math-57	75.5
2203312555	Phys-26	34.7
2206123902	CS-53	46.8
2201222257	CE-97	28.3
2201412042	Econ-61	9.8
2203312497	AE-73	10.2
2201323107	IE-76	91.8
2203711826	Stat-01	95.3
2206123862	BE-21	88.1
2203612984	ME-19	55.4
2204214955	ChE-29	97.4
2206124260	Math-11	87.1
2196514761	Chem-83	64.4
2204313313	Phys-09	64.5
2203712690	Stat-33	55.6
2204214961	IE-57	60.1
2205114651	ME-19	96.2
2203211404	Chem-83	67.6
JL20209063	Phys-46	72.4
2204224988	EE-09	64.7
2206113727	EE-09	98.1
2204111716	ME-92	42.4
2201412018	Chem-27	41.0
2205012170	Chem-16	86.7
2201310802	EE-69	98.8
2206114026	ME-92	64.2
2203322509	AE-38	94.6
2204313352	Ling-36	4.1
2203513491	Econ-66	30.7
2203712788	IE-76	11.0
2206123994	CE-20	96.1
2206113916	Chem-34	94.9
2206123691	Math-19	45.0
2206111763	Bio-44	91.5
2205322837	Chem-34	96.8
2206113938	Phys-62	77.6
2203712739	Math-32	85.4
2203613045	Phys-36	27.8
2203211444	AE-96	80.6
2196214614	CS-56	78.6
2206124253	Ling-43	97.1
2204112315	Phys-36	51.1
2203712693	AE-96	63.5
2203613021	Chem-35	73.5
2206123882	Ling-35	81.4
2204112280	Econ-51	84.5
2205012196	Math-32	62.5
2203312548	Phys-46	98.5
2204112375	Math-27	38.0
2204214957	Stat-33	82.7
2206113743	ME-88	12.1
2201412015	Econ-31	90.4
2203613038	Phys-41	63.4
2203712827	IE-54	80.6
2202311939	IE-76	96.4
2201422020	Phys-36	70.6
2203712697	Phys-62	33.7
2206123956	IE-95	97.0
2205114694	CS-56	30.5
2206113992	AE-73	29.2
2206113585	CE-32	20.8
2206113749	Ling-43	66.8
2205114703	Chem-35	86.5
2203613009	Stat-28	62.0
2206113921	Econ-61	80.2
2201521777	Phys-26	95.7
2206412636	Phys-62	84.3
2206123775	Phys-46	87.6
2201212255	Bio-60	87.9
2206515211	IE-65	66.5
2203712717	IE-76	71.2
2204112375	ME-73	49.0
2205114651	BE-06	68.2
2186110003	CS-36	73.7
2204112347	Stat-29	90.1
2202113447	Bio-60	98.9
2201313114	ChE-46	16.2
2206422632	EE-69	74.6
2203623015	Bio-44	97.0
2203312573	Stat-29	70.1
2204122370	Bio-44	76.1
2206412655	Ling-89	65.4
2205012187	AE-38	26.3
2205114717	IE-67	11.5
2203312555	ME-92	88.0
2203623022	Chem-45	96.5
2203312555	BE-06	38.7
2206113696	CS-53	61.6
2206113770	Econ-67	20.7
2206113687	Chem-16	90.4
2206113954	EE-94	60.1
2201313120	Phys-07	69.9
2201323113	Bio-57	58.3
2206113845	Chem-00	97.6
2206515183	Chem-77	82.5
2204313374	ChE-46	17.4
2203114809	CE-20	93.0
2201121587	ChE-86	56.9
2206123852	CE-74	95.3
2203113242	Ling-36	70.5
2205114694	ChE-46	61.5
2196214612	Math-57	64.7
2204214963	ME-91	44.8
2206113957	ChE-86	79.9
2206113687	Ling-89	29.3
2203513488	Econ-05	69.0
2206123925	EE-09	95.2
2206412637	CE-74	88.6
2205012168	CE-32	34.3
2206312123	CS-53	36.5
2206515222	Bio-24	92.8
2203211410	Phys-36	99.4
2205012172	CE-74	98.7
2204112314	EE-94	13.7
2201412043	Econ-59	95.9
2206123946	CS-36	47.0
2201412060	Econ-31	65.7
2205114662	Chem-35	84.9
2205012204	ChE-29	72.5
2204215035	AE-96	63.2
2204613217	Chem-45	53.1
2201313158	CS-05	65.2
2201511776	Chem-34	72.9
2204214959	Stat-47	10.6
2206113969	EE-69	71.6
2206123694	Chem-27	83.6
2206213272	EE-94	31.7
2184114623	CE-23	49.8
2201121580	IE-54	41.3
2206113598	ChE-79	67.6
2203312582	ChE-62	81.6
2204313315	Phys-62	75.5
2206123732	Stat-48	42.9
2203613031	Stat-33	69.6
2206210735	Bio-57	68.1
2206515183	Phys-07	28.7
2204313313	Chem-00	74.7
2203712764	CS-01	67.7
2208115392	IE-54	88.0
2204112334	Phys-36	71.2
2203412925	CE-20	63.4
2201412074	CS-05	1.4
2204313333	Econ-35	2.3
2201412070	Math-32	60.1
2203412951	CS-36	83.8
2206210735	Ling-27	69.5
2203712727	Econ-31	25.2
2206515219	Stat-47	81.5
2205012170	Phys-62	83.3
2206123674	IE-76	77.4
2201323090	Econ-61	10.3
2206123705	AE-77	74.5
2205114703	AE-98	71.2
2203113240	Ling-27	17.3
2206312126	CS-56	25.8
2205012170	Stat-33	9.3
2206123951	Ling-27	90.4
2204421326	CS-01	80.4
2206213263	Bio-24	86.5
2203312582	IE-54	73.5
2206113743	Chem-27	72.1
2206113926	Math-27	69.6
2206412654	CE-32	75.5
2203712775	IE-57	92.6
2204224980	AE-38	37.9
2204111716	BE-21	16.3
2201412042	Chem-27	85.6
2206113798	Stat-01	73.8
2206115145	Chem-27	89.6
2203712703	Econ-51	67.7
2205012216	EE-09	89.1
2206123972	Math-54	29.3
2203513491	Phys-09	60.9
2205021366	Ling-36	81.7
2203712827	Ling-03	51.8
2206123972	CE-74	68.0
2205012172	AE-96	77.9
2206123877	EE-69	30.3
2204112324	BE-34	25.1
2201412052	Math-57	50.9
2206113765	Ling-36	64.9
2203712775	Chem-90	93.9
2206123947	Stat-47	94.6
2205114671	ChE-46	75.1
2206113968	EE-69	62.5
2203612979	BE-21	88.5
2205114694	CS-01	69.3
2206515201	AE-38	62.8
2203722773	Econ-76	69.8
2203613005	CE-20	95.9
2204214962	Math-90	62.9
2204411647	IE-57	49.0
2201212256	Ling-43	10.4
2203312521	Econ-67	71.3
2204214953	IE-76	63.9
2204411661	CE-23	61.8
2203712691	CS-36	96.3
2203422929	Bio-35	5.6
2203322593	Bio-08	84.6
2203113234	ME-19	75.5
2202113432	Stat-33	66.5
2204112379	Bio-58	25.7
2204511812	Math-90	96.8
2201412060	Bio-35	88.4
2201111624	Stat-48	86.3
2206123886	Stat-48	43.6
2206113761	Econ-67	65.1
2204511810	CE-23	60.4
2206113829	Chem-77	24.9
2204313335	IE-67	21.2
2203513486	BE-21	91.2
2203412932	IE-76	87.4
2201111586	Phys-62	74.1
2203412944	ChE-29	83.5
2206113827	ChE-29	70.2
2203312578	Chem-42	86.5
2201412078	AE-96	10.5
2203312573	Econ-61	74.4
2204215009	EE-09	96.7
2206113932	Phys-62	95.8
2206113599	Phys-36	68.7
2206123611	ME-92	68.2
2206213254	Math-11	68.2
2205114708	ChE-86	98.2
2201212249	Econ-76	60.5
2201412082	Phys-36	74.8
2203211400	ME-88	83.9
2203211392	Econ-05	74.0
2205012211	Chem-00	61.8
2206113752	IE-57	79.6
2205012204	Econ-05	16.6
2204313395	CS-56	30.7
2202113441	Chem-90	91.0
2205114693	Ling-89	70.4
2206123578	BE-21	93.3
2202214763	Phys-62	25.8
2203214797	Phys-09	53.9
2203211440	AE-91	62.3
2203211401	CS-56	67.0
2206113717	Econ-67	17.3
2203714806	CE-74	91.5
2204313334	Bio-44	68.6
2204214959	IE-93	73.9
2205012145	BE-70	81.3
2201521778	CE-32	67.3
2205012202	AE-77	98.4
2203312521	Stat-01	10.8
2201422063	IE-54	73.9
2202321922	Phys-09	10.1
2201222246	Math-54	80.7
2206515199	AE-38	80.9
2201412019	BE-06	67.9
2206113635	EE-94	74.6
2206113798	ChE-29	87.1
2203712731	Phys-62	62.7
2205114694	Stat-48	74.9
2203221443	Phys-26	92.3
2203211474	ChE-46	73.6
2195123234	ChE-29	90.1
2203412942	AE-96	66.5
2202113428	CS-05	94.7
2204224980	CS-56	95.8
2206113602	Bio-99	81.2
2202311936	AE-77	72.0
2204411673	ME-88	94.1
2203113242	Chem-34	66.5
2203312497	Bio-35	45.1
2204215035	Chem-83	73.8
2206113729	Ling-43	64.3
2202224791	AE-73	22.7
2206113945	AE-73	73.1
2201422016	AE-18	78.6
2204313368	Econ-61	97.9
2204313371	BE-06	77.7
2201412053	Ling-43	30.3
2203712759	ChE-86	91.6
2206123874	CE-97	74.7
2202214763	AE-91	17.8
2206113827	IE-65	67.6
2206223282	AE-98	80.4
2201412079	CE-23	12.7
2206113693	CE-74	77.0
2203712766	Ling-92	73.6
2195314621	Econ-35	15.4
2201412018	ME-86	14.2
2203712701	BE-70	88.3
2203221446	CE-23	49.2
2205012207	Stat-47	78.1
2206113626	Econ-35	63.1
2203113236	Chem-42	92.2
2205012168	Stat-47	20.9
2203312556	Chem-83	87.0
2206113740	Chem-00	98.8
2201222237	ME-64	73.9
2201511776	Stat-33	13.1
2203312552	Stat-47	87.8
2203513488	BE-21	76.2
2203513506	IE-54	76.0
2201511781	ChE-86	80.0
2206123813	ME-91	86.2
2204122350	CE-97	85.0
2203613016	Bio-99	90.6
2205012172	Econ-51	98.8
2203712742	Bio-35	72.2
2206123807	Stat-47	44.4
2201313116	Ling-92	81.4
2204112324	Econ-59	82.5
2205124713	Phys-62	88.7
2205114694	ChE-62	82.1
2201412023	Phys-36	69.6
2206213283	IE-95	81.4
2206515183	CS-36	1.6
2203712768	ME-19	61.4
2205012191	Ling-35	32.5
2204222855	Phys-09	60.1
2206113909	Econ-59	84.9
2206113978	EE-94	72.0
2206113569	AE-77	57.3
2201313149	Econ-31	99.7
2195314619	Phys-09	90.1
2205123246	AE-98	83.4
2205123246	CS-56	98.5
2204411652	Math-90	28.7
2203712787	AE-38	62.6
2206113741	Chem-90	89.1
2201313114	CE-32	89.1
2205024810	Bio-08	80.6
2205312829	Phys-26	73.4
2203712732	Chem-42	71.0
2206113616	Phys-41	88.3
2203412925	CS-56	79.5
2204214961	ChE-46	98.3
2206123983	CE-74	62.8
2206123892	Bio-08	99.1
2204214953	CS-05	62.8
2204215008	Stat-01	81.6
2206515189	Econ-35	66.6
2206113731	CE-97	61.1
2205114710	ChE-62	99.0
2205012211	BE-70	87.4
2206515199	ME-91	83.7
2206113963	ME-91	75.1
2203312561	AE-96	81.8
2206123715	Chem-35	79.6
2203612993	AE-18	85.5
2203214797	Phys-31	19.9
2201313140	ME-92	78.2
2206113629	Stat-01	71.3
2204225020	Stat-48	89.7
2206113603	Bio-24	79.9
2202113449	AE-18	73.1
2204112330	ME-86	63.0
2204411679	Stat-48	92.9
2206113907	EE-94	88.2
2206123904	Bio-44	54.4
2206113814	BE-70	55.6
2205012206	ChE-46	69.0
2203214797	IE-65	96.4
2203612998	BE-06	18.0
2205012174	ME-91	95.7
2203513506	Bio-58	85.6
2201212254	Chem-45	83.2
2203211393	ChE-79	72.9
2204411647	Math-11	89.6
2203513495	EE-94	80.5
2204214986	IE-76	96.4
2206213255	ME-88	69.4
2203711824	Chem-45	63.2
2203612995	Econ-35	85.1
2206123813	IE-76	69.1
2206113730	Chem-16	84.7
2206123925	Bio-44	89.2
2206113603	IE-57	90.8
2204411668	IE-76	71.7
2203712711	Chem-27	66.1
2206123832	Phys-46	92.6
2201212238	Chem-77	78.9
2203712757	IE-54	83.5
2203113236	IE-93	85.0
2203712732	Econ-76	73.1
2203712751	Econ-81	76.1
2201212249	EE-69	27.6
2206213261	ME-19	68.8
2203712731	BE-34	80.0
2206113854	Math-19	19.6
2204313315	ChE-62	70.5
2205114669	BE-21	66.9
2203612992	AE-38	86.5
2203113229	CE-23	99.0
2208211254	Chem-16	75.0
2203712778	IE-65	65.1
2202113426	Math-57	17.9
2206123691	Math-90	60.8
2205114683	Ling-92	64.1
2184114623	Math-32	67.4
2206113588	AE-38	83.3
2205111306	Chem-35	96.7
2203711825	Econ-61	93.7
2203312586	IE-93	86.8
2206213286	Econ-35	97.7
2204111720	Chem-27	54.4
2206113601	Econ-59	82.4
2204112349	Ling-89	99.8
2205114693	Econ-76	93.7
2203513472	Chem-34	88.4
2201212256	Stat-47	76.3
2204215026	Bio-58	88.4
2205114695	Stat-48	84.8
2204222863	CE-74	90.0
2202311923	Phys-36	91.3
2202113449	Chem-42	93.8
2203712778	Math-32	81.1
2206113621	Econ-61	26.0
2203513470	Econ-35	68.5
2204214992	Phys-41	85.8
2203322553	IE-76	66.1
2206113765	Phys-41	86.3
2206113635	Stat-29	75.2
2201412022	Econ-51	24.5
2203312512	CE-97	51.3
2201422020	Bio-35	79.2
2203113232	ME-73	76.2
2206412636	Stat-48	83.3
2206123604	Econ-67	70.0
2203613016	IE-95	94.8
2203712742	Math-11	84.9
2201222237	Math-27	89.1
2206312132	EE-09	88.9
2206515189	CS-36	69.6
2203412942	IE-76	46.4
2202113437	CS-53	60.3
2202224791	Econ-35	62.2
2206123682	CS-05	48.8
2203412923	IE-57	64.0
2204214951	Phys-36	49.7
2204313375	Phys-09	27.0
2201313098	CS-01	82.1
2206213272	Phys-62	65.3
2205322837	Ling-35	7.3
2204224988	Ling-27	61.6
2206515186	ME-86	43.0
2203211400	AE-91	71.0
2206113913	Stat-33	67.7
2206113727	IE-93	62.4
2203311497	Math-57	78.6
2206412654	Econ-66	70.6
2206113626	Phys-36	73.0
2203113242	Phys-46	75.2
2203513503	AE-38	72.4
2201412025	ChE-86	94.4
2206515202	Econ-05	84.5
2206213255	IE-65	78.5
2203613045	ChE-62	99.8
2206525205	Bio-99	65.1
2203221407	Bio-99	82.4
2203513500	ChE-29	77.2
2206113885	IE-93	40.2
2204122281	Chem-83	49.0
2206113945	CS-56	93.5
2206113668	BE-34	93.7
2203113229	ChE-29	44.0
2204214978	Bio-35	19.6
2203312585	Chem-34	65.1
2202123450	Econ-31	63.6
2203312544	Chem-35	70.5
2203613016	CS-36	73.9
2202214756	Ling-36	93.7
2203113235	ME-19	92.8
2206123679	Bio-58	73.6
2203113229	CS-56	52.0
2204224991	Phys-31	60.5
2201313142	Stat-28	60.4
2201422067	ME-92	75.8
2196214612	Math-11	38.0
2203312551	IE-93	66.4
2203712767	EE-94	85.3
2203513486	CS-53	74.2
2203712725	Chem-34	81.7
2203412932	Chem-77	60.4
2203312590	Econ-81	94.7
2204122312	Stat-48	92.7
2206123664	Stat-29	69.5
2203712786	ME-73	93.2
2203712768	ChE-86	77.6
2206312134	IE-54	2.6
2201111583	Math-57	72.4
2206113779	Chem-45	96.8
2204411645	IE-54	88.8
2204112303	Bio-99	86.4
2201323130	ME-73	66.5
2201313140	AE-96	63.8
2205312846	AE-77	91.8
2206113566	ME-92	69.6
2206412636	Econ-67	75.4
2206113885	IE-57	79.3
2203312567	Chem-42	60.1
2203113232	Bio-60	78.9
2205114721	ChE-79	39.0
2203612986	Bio-44	53.3
2203214797	Bio-60	17.1
2184114625	Chem-27	7.6
2204111713	Chem-27	50.3
2206123956	Chem-77	69.0
2206113606	IE-95	44.0
2202113447	Math-54	85.9
2203211414	BE-21	29.7
2206113933	CE-74	15.1
2206210735	Stat-47	10.9
2205012175	BE-21	4.0
2206123758	Econ-35	88.8
2203714806	Bio-08	17.8
2205114721	Phys-07	56.7
2203511793	Econ-61	84.8
2201313129	ChE-46	97.8
2206113841	Ling-03	89.0
2203312561	Phys-62	83.1
2203422939	Bio-35	60.8
2203613038	Econ-05	71.8
2204122370	Math-11	21.9
2204421326	CE-32	22.9
2206113932	Chem-45	60.3
2206113727	Phys-36	86.8
2203712766	Chem-83	71.9
2206113821	CE-74	96.9
2201412049	Chem-90	28.7
2203312528	CS-05	64.9
2203312577	ME-88	96.4
2206113686	Chem-83	91.5
2203712757	IE-93	90.3
2205114709	Phys-07	94.6
2206113766	ME-64	79.1
2203312531	CE-97	73.4
2205012199	CE-20	63.9
2202214756	ChE-86	80.6
2205114654	Stat-28	75.9
2205312842	CE-97	22.2
2206123791	BE-70	90.1
2201323130	IE-54	60.5
2205124700	Bio-24	7.8
2203613038	Chem-45	62.2
2206113977	AE-77	96.5
2201111582	IE-65	73.0
2205012203	ME-19	61.1
2204112377	Bio-35	90.0
2203211448	Bio-25	38.5
2206115149	CE-74	69.2
2203211434	Ling-03	60.1
2204511814	AE-77	62.0
2201422034	BE-70	85.5
2204421644	Ling-36	20.2
2203613016	Bio-57	76.4
2206213286	Chem-83	88.8
2204222869	EE-94	100.0
2205114723	ChE-86	24.1
2203113242	Stat-33	94.8
2204511812	Bio-25	53.2
2201212249	ME-73	57.5
2206123985	Math-57	90.2
2208211254	IE-76	98.6
2203322593	CS-01	99.6
2205312848	Chem-35	82.6
2203613045	Stat-01	65.6
2203211398	AE-38	94.6
2204511810	Ling-43	89.8
2205114665	ME-64	96.8
2206123985	Chem-35	97.0
2205012168	Bio-58	63.4
2205114662	EE-94	46.2
2204313316	Phys-36	69.3
2204112296	AE-73	71.5
2194324705	Ling-36	93.2
2206113727	Econ-67	76.2
2205011914	EE-94	83.4
2203722753	Econ-76	63.2
2206123832	Econ-51	88.4
2201313098	EE-69	64.7
2205012189	Phys-62	75.7
